text,keywords_indices,keywords_count
"['no', 'i', 'am', 'searching', 'for', 'east', 'ridge', 'high', 'school', 'in', 'lick', 'creek', 'ky']","[10, 11]",2
"['demographics', 'of', 'east', 'ridge', 'high', 'school', 'in', 'lick', 'creek', 'kentucky']","[3, 7, 9]",3
"['do', 'you', 'need', 'directions', 'to', 'east', 'ridge', 'high', 'school']",[2],1
"['no', 'i', 'need', 'the', 'demographics', 'of', 'east', 'ridge', 'high', 'school', 'in', 'lick', 'creek', 'kentucky']","[11, 12]",2
"['demographics', 'of', 'east', 'ridge', 'high', 'school', 'in', 'lick', 'creek', 'kentucky']","[2, 7]",2
"['information', 'about', 'the', 'sports', 'program', 'at', 'east', 'ridge', 'high', 'school', 'in', 'clermont', 'florida']","[4, 11]",2
"['are', 'you', 'interested', 'in', 'east', 'ridge', 'high', 'school', 'latest', 'news']",[2],1
"['no', 'im', 'interested', 'in', 'information', 'about', 'the', 'sports', 'program', 'at', 'east', 'ridge', 'high', 'school']",[1],1
"['information', 'about', 'the', 'sports', 'program', 'at', 'east', 'ridge', 'high', 'school', 'in', 'clermont', 'florida']","[4, 11]",2
"['do', 'you', 'need', 'the', 'address', 'of', 'east', 'ridge', 'high', 'school']",[2],1
"['no', 'i', 'want', 'to', 'know', 'which', 'sports', 'programs', 'the', 'school', 'offers']",[2],1
"['information', 'about', 'the', 'sports', 'program', 'at', 'east', 'ridge', 'high', 'school', 'in', 'clermont', 'florida']","[4, 11]",2
"['in', 'which', 'state', 'are', 'you', 'looking', 'for', 'east', 'ridge', 'high', 'school']",[2],1
['florida'],[0],1
"['information', 'about', 'the', 'sports', 'program', 'at', 'east', 'ridge', 'high', 'school', 'in', 'clermont', 'florida']","[4, 11]",2
"['what', 'information', 'about', 'east', 'ridge', 'high', 'school', 'are', 'you', 'looking', 'for']",[3],1
"['im', 'looking', 'for', 'information', 'about', 'their', 'sports', 'program']",[7],1
"['information', 'about', 'the', 'sports', 'program', 'at', 'east', 'ridge', 'high', 'school', 'in', 'clermont', 'florida']","[4, 11]",2
"['are', 'you', 'looking', 'for', 'east', 'ridge', 'high', 'school', 'activities']",[4],1
"['yes', 'the', 'sports', 'programs']",[0],1
"['information', 'about', 'the', 'sports', 'program', 'at', 'east', 'ridge', 'high', 'school', 'in', 'clermont', 'florida']","[4, 11]",2
"['are', 'you', 'looking', 'for', 'east', 'ridge', 'high', 'school', 'in', 'woodbury', 'mn']",[2],1
"['no', 'i', 'want', 'information', 'about', 'sports', 'at', 'the', 'east', 'ridge', 'high', 'in', 'clermont', 'fl']",[8],1
"['information', 'about', 'the', 'sports', 'program', 'at', 'east', 'ridge', 'high', 'school', 'in', 'clermont', 'florida']","[4, 11]",2
"['are', 'you', 'looking', 'for', 'a', 'specific', 'web', 'site']",[2],1
"['yes', 'i', 'am', 'looking', 'for', 'the', 'page', 'for', 'the', 'sports', 'program', 'at', 'east', 'ridge', 'high', 'school', 'in', 'clermont', 'florida']",[12],1
"['information', 'about', 'the', 'sports', 'program', 'at', 'east', 'ridge', 'high', 'school', 'in', 'clermont', 'florida']","[4, 11]",2
"['are', 'you', 'looking', 'for', 'information', 'about', 'the', 'sports', 'facilities', 'at', 'the', 'school']",[2],1
"['no', 'i', 'want', 'to', 'know', 'about', 'the', 'sports', 'programs', 'as', 'east', 'ridge', 'high', 'school', 'in', 'clermont', 'florida']","[8, 15]",2
"['information', 'about', 'the', 'sports', 'program', 'at', 'east', 'ridge', 'high', 'school', 'in', 'clermont', 'florida']","[4, 11]",2
"['are', 'you', 'seaching', 'for', 'east', 'ridge', 'high', 'school', 'community', 'education']",[4],1
"['no', 'i', 'need', 'to', 'know', 'about', 'the', 'sports', 'program']",[2],1
"['information', 'about', 'the', 'sports', 'program', 'at', 'east', 'ridge', 'high', 'school', 'in', 'clermont', 'florida']","[6, 11]",2
"['are', 'you', 'searching', 'for', 'east', 'ridge', 'high', 'school', 'football', 'schedule']",[4],1
"['no', 'information', 'on', 'the', 'different', 'sporting', 'activities']",[4],1
"['information', 'about', 'the', 'sports', 'program', 'at', 'east', 'ridge', 'high', 'school', 'in', 'clermont', 'florida']","[4, 6]",2
"['are', 'you', 'searching', 'for', 'east', 'ridge', 'high', 'school', 'located', 'in', 'clermont', 'fl']",[4],1
['yes'],[0],1
"['information', 'about', 'the', 'sports', 'program', 'at', 'east', 'ridge', 'high', 'school', 'in', 'clermont', 'florida']","[4, 11]",2
"['do', 'you', 'need', 'directions', 'to', 'east', 'ridge', 'high', 'school']",[3],1
"['not', 'related', 'to', 'queryquestion']",[1],1
"['information', 'about', 'the', 'sports', 'program', 'at', 'east', 'ridge', 'high', 'school', 'in', 'clermont', 'florida']","[4, 11]",2
"['information', 'and', 'procedures', 'for', 'registering', 'vehicles', 'in', 'virginia']",[7],1
"['no', 'i', 'need', 'to', 'know', 'about', 'registering', 'vehicles']",[2],1
"['information', 'and', 'procedures', 'for', 'registering', 'vehicles', 'in', 'virginia']","[2, 7]",2
"['would', 'you', 'like', 'directions', 'to', 'the', 'va', 'dmv', 'registration']","[6, 7]",2
"['no', 'i', 'just', 'want', 'information', 'about', 'registering', 'a', 'vehicle']",[3],1
"['information', 'and', 'procedures', 'for', 'registering', 'vehicles', 'in', 'virginia']","[2, 7]",2
"['would', 'you', 'like', 'hours', 'for', 'va', 'dmv', 'registration']","[5, 6]",2
"['information', 'and', 'procedures', 'for', 'registering', 'vehicles', 'in', 'virginia']",[7],1
"['would', 'you', 'like', 'the', 'phone', 'numbers', 'to', 'the', 'va', 'dmv', 'registration']","[8, 9]",2
"['no', 'only', 'the', 'procedures', 'and', 'information', 'for', 'registering', 'vehicles']",[5],1
"['information', 'and', 'procedures', 'for', 'registering', 'vehicles', 'in', 'virginia']","[2, 4, 7]",3
"['would', 'you', 'like', 'to', 'email', 'the', 'va', 'dmv', 'registration']","[6, 7]",2
"['no', 'i', 'need', 'to', 'find', 'out', 'about', 'registering', 'vehicles']",[2],1
"['information', 'and', 'procedures', 'for', 'registering', 'vehicles', 'in', 'virginia']",[7],1
"['are', 'you', 'looking', 'for', 'physical', 'locations', 'of', 'dmv', 'offices']",[7],1
"['no', 'i', 'need', 'general', 'information', 'about', 'registering', 'a', 'vehicle', 'in', 'virginia']","[2, 10]",2
"['information', 'and', 'procedures', 'for', 'registering', 'vehicles', 'in', 'virginia']",[7],1
"['are', 'you', 'searching', 'for', 'required', 'documentation', 'for', 'vehicle', 'registration']",[5],1
"['information', 'and', 'procedures', 'for', 'registering', 'vehicles', 'in', 'virginia']","[2, 4, 7]",3
"['do', 'you', 'want', 'a', 'list', 'of', 'departments', 'within', 'the', 'va', 'dmv', 'registration']","[2, 7, 10]",3
"['information', 'and', 'procedures', 'for', 'registering', 'vehicles', 'in', 'virginia']","[2, 4, 7]",3
"['do', 'you', 'want', 'to', 'obtain', 'forms', 'from', 'the', 'dmv']","[4, 8]",2
"['information', 'and', 'procedures', 'for', 'registering', 'vehicles', 'in', 'virginia']","[2, 4, 7]",3
"['do', 'you', 'want', 'to', 'renew', 'a', 'drivers', 'license']","[2, 4]",2
"['no', 'i', 'need', 'to', 'register', 'my', 'vehicle', 'in', 'virginia']",[8],1
"['information', 'and', 'procedures', 'for', 'registering', 'vehicles', 'in', 'virginia']","[2, 7]",2
"['what', 'are', 'in', 'interested', 'in', 'about', 'va', 'dmv', 'registration']","[6, 7]",2
"['information', 'and', 'procedures', 'for', 'registering', 'vehicles', 'in', 'virginia']","[2, 7]",2
"['what', 'services', 'do', 'you', 'want', 'to', 'find', 'information', 'about']",[4],1
"['information', 'and', 'procedures', 'for', 'registering', 'vehicles', 'in', 'virginia']","[2, 7]",2
"['where', 'are', 'offices', 'of', 'the', 'virginia', 'department', 'of', 'motor', 'vehicles', 'located', 'and', 'what', 'are', 'their', 'hours', 'of', 'operation']","[5, 8]",2
"['would', 'you', 'like', 'directions', 'to', 'the', 'va', 'dmv', 'registration']","[3, 6, 7]",3
"['yes', 'also', 'what', 'hours', 'ar', 'they', 'opn']","[0, 3]",2
"['where', 'are', 'offices', 'of', 'the', 'virginia', 'department', 'of', 'motor', 'vehicles', 'located', 'and', 'what', 'are', 'their', 'hours', 'of', 'operation']","[5, 8]",2
"['would', 'you', 'like', 'hours', 'for', 'va', 'dmv', 'registration']","[5, 6, 7]",3
"['yes', 'i', 'would', 'like', 'to', 'know', 'the', 'hours', 'but', 'i', 'also', 'need', 'to', 'know', 'their', 'locations']","[0, 11]",2
"['where', 'are', 'offices', 'of', 'the', 'virginia', 'department', 'of', 'motor', 'vehicles', 'located', 'and', 'what', 'are', 'their', 'hours', 'of', 'operation']","[5, 8]",2
"['would', 'you', 'like', 'the', 'phone', 'numbers', 'to', 'the', 'va', 'dmv', 'registration']","[8, 9]",2
"['no', 'i', 'would', 'like', 'the', 'address', 'and', 'hours', 'for', 'the', 'virginia', 'department', 'of', 'motor', 'vehicles']","[5, 11, 14]",3
"['where', 'are', 'offices', 'of', 'the', 'virginia', 'department', 'of', 'motor', 'vehicles', 'located', 'and', 'what', 'are', 'their', 'hours', 'of', 'operation']",[9],1
"['would', 'you', 'like', 'to', 'email', 'the', 'va', 'dmv', 'registration']",[8],1
"['i', 'need', 'va', 'dmv', 'locations', 'and', 'hours']","[1, 6]",2
"['where', 'are', 'offices', 'of', 'the', 'virginia', 'department', 'of', 'motor', 'vehicles', 'located', 'and', 'what', 'are', 'their', 'hours', 'of', 'operation']","[5, 8]",2
"['yes', 'but', 'needing', 'the', 'office', 'hours', 'also']","[2, 6]",2
"['where', 'are', 'offices', 'of', 'the', 'virginia', 'department', 'of', 'motor', 'vehicles', 'located', 'and', 'what', 'are', 'their', 'hours', 'of', 'operation']","[5, 8]",2
"['are', 'you', 'searching', 'for', 'required', 'documentation', 'for', 'vehicle', 'registration']","[4, 7]",2
"['no', 'i', 'just', 'need', 'to', 'know', 'the', 'address', 'and', 'hours', 'for', 'the', 'dmv']","[5, 7, 12]",3
"['where', 'are', 'offices', 'of', 'the', 'virginia', 'department', 'of', 'motor', 'vehicles', 'located', 'and', 'what', 'are', 'their', 'hours', 'of', 'operation']","[5, 8]",2
"['do', 'you', 'want', 'a', 'list', 'of', 'departments', 'within', 'the', 'va', 'dmv', 'registration']","[4, 9, 10]",3
"['no', 'i', 'want', 'the', 'locations', 'and', 'hours', 'of', 'virginias', 'dmv']","[4, 6, 9]",3
"['where', 'are', 'offices', 'of', 'the', 'virginia', 'department', 'of', 'motor', 'vehicles', 'located', 'and', 'what', 'are', 'their', 'hours', 'of', 'operation']","[5, 8]",2
"['do', 'you', 'want', 'to', 'renew', 'a', 'drivers', 'license']",[4],1
"['where', 'are', 'offices', 'of', 'the', 'virginia', 'department', 'of', 'motor', 'vehicles', 'located', 'and', 'what', 'are', 'their', 'hours', 'of', 'operation']","[5, 8]",2
"['im', 'interested', 'in', 'office', 'locations', 'and', 'what', 'times', 'they', 'are', 'open']","[3, 4]",2
"['where', 'are', 'offices', 'of', 'the', 'virginia', 'department', 'of', 'motor', 'vehicles', 'located', 'and', 'what', 'are', 'their', 'hours', 'of', 'operation']","[5, 8]",2
"['information', 'about', 'the', 'sales', 'tax', 'in', 'illinois', 'what', 'is', 'the', 'rate', 'and', 'what', 'is', 'it', 'levied', 'on']","[0, 4, 10]",3
"['are', 'you', 'interested', 'in', 'how', 'the', 'illinois', 'state', 'tax', 'is', 'determined']","[7, 8]",2
"['no', 'i', 'would', 'like', 'to', 'know', 'the', 'rate', 'and', 'what', 'it', 'is', 'applied', 'to']",[7],1
"['information', 'about', 'the', 'sales', 'tax', 'in', 'illinois', 'what', 'is', 'the', 'rate', 'and', 'what', 'is', 'it', 'levied', 'on']","[0, 3, 10]",3
"['what', 'classification', 'would', 'you', 'like', 'to', 'know', 'the', 'tax', 'rate', 'for']","[2, 8, 9]",3
"['information', 'about', 'the', 'sales', 'tax', 'in', 'illinois', 'what', 'is', 'the', 'rate', 'and', 'what', 'is', 'it', 'levied', 'on']",[4],1
"['what', 'info', 'about', 'the', 'state', 'tax', 'are', 'you', 'looking', 'for']","[4, 5]",2
"['sales', 'tax', 'rates', 'and', 'products', 'taxed', 'in', 'illinois']","[1, 2]",2
"['information', 'about', 'the', 'sales', 'tax', 'in', 'illinois', 'what', 'is', 'the', 'rate', 'and', 'what', 'is', 'it', 'levied', 'on']",[4],1
"['would', 'you', 'like', 'know', 'who', 'collects', 'illinois', 'state', 'tax']","[5, 7, 8]",3
"['no', 'i', 'want', 'to', 'know', 'the', 'sales', 'tax', 'rate']","[7, 8]",2
"['information', 'about', 'the', 'sales', 'tax', 'in', 'illinois', 'what', 'is', 'the', 'rate', 'and', 'what', 'is', 'it', 'levied', 'on']",[4],1
"['would', 'you', 'like', 'to', 'know', 'when', 'the', 'illinois', 'state', 'tax', 'is', 'due']",[8],1
"['no', 'i', 'just', 'need', 'the', 'sales', 'tax', 'rate']","[5, 6, 7]",3
"['information', 'about', 'the', 'sales', 'tax', 'in', 'illinois', 'what', 'is', 'the', 'rate', 'and', 'what', 'is', 'it', 'levied', 'on']",[4],1
"['are', 'you', 'interested', 'in', 'how', 'to', 'pay', 'your', 'illinois', 'state', 'tax']","[9, 10]",2
"['no', 'im', 'interest', 'more', 'in', 'information', 'about', 'illinois', 'sales', 'tax', 'and', 'how', 'the', 'rate', 'is', 'levied']","[5, 9, 13]",3
"['information', 'about', 'the', 'sales', 'tax', 'in', 'illinois', 'what', 'is', 'the', 'rate', 'and', 'what', 'is', 'it', 'levied', 'on']","[0, 4, 10]",3
"['do', 'you', 'want', 'to', 'get', 'helping', 'completing', 'your', 'illinois', 'state', 'tax', 'return']","[9, 10]",2
"['information', 'about', 'the', 'sales', 'tax', 'in', 'illinois', 'what', 'is', 'the', 'rate', 'and', 'what', 'is', 'it', 'levied', 'on']","[0, 4, 10]",3
"['do', 'you', 'want', 'to', 'know', 'what', 'the', 'illinois', 'state', 'tax', 'rate', 'is']","[8, 9, 10]",3
"['yes', 'as', 'well', 'as', 'what', 'products', 'it', 'is', 'levied', 'on']",[5],1
"['information', 'about', 'the', 'sales', 'tax', 'in', 'illinois', 'what', 'is', 'the', 'rate', 'and', 'what', 'is', 'it', 'levied', 'on']","[4, 10]",2
"['do', 'you', 'want', 'to', 'know', 'where', 'your', 'refund', 'is', 'or', 'know', 'the', 'tax', 'rate']","[12, 13]",2
"['no', 'i', 'want', 'to', 'know', 'how', 'sales', 'tax', 'is', 'levied']","[6, 7]",2
"['information', 'about', 'the', 'sales', 'tax', 'in', 'illinois', 'what', 'is', 'the', 'rate', 'and', 'what', 'is', 'it', 'levied', 'on']","[0, 4, 10]",3
"['do', 'you', 'want', 'to', 'read', 'articles', 'about', 'the', 'tax', 'rate', 'or', 'know', 'the', 'tax', 'rate', 'percentage']","[8, 9]",2
"['i', 'would', 'like', 'to', 'know', 'how', 'the', 'sales', 'tax', 'in', 'illinois', 'is', 'calculated', 'and', 'how', 'much', 'it', 'is']","[1, 7, 8]",3
"['information', 'about', 'the', 'sales', 'tax', 'in', 'illinois', 'what', 'is', 'the', 'rate', 'and', 'what', 'is', 'it', 'levied', 'on']",[4],1
"['for', 'which', 'year', 'would', 'you', 'like', 'to', 'know', 'the', 'illinois', 'state', 'tax']",[10],1
"['i', 'just', 'want', 'information', 'about', 'the', 'rate', 'and', 'what', 'the', 'sales', 'tax', 'is', 'levied', 'on']","[3, 6, 11]",3
"['information', 'about', 'the', 'sales', 'tax', 'in', 'illinois', 'what', 'is', 'the', 'rate', 'and', 'what', 'is', 'it', 'levied', 'on']","[3, 4, 10]",3
"['may', 'i', 'tell', 'you', 'how', 'much', 'the', 'state', 'income', 'tax', 'in', 'illinois', 'is']","[0, 7, 9]",3
"['yes', 'please']",[1],1
"['information', 'about', 'the', 'sales', 'tax', 'in', 'illinois', 'what', 'is', 'the', 'rate', 'and', 'what', 'is', 'it', 'levied', 'on']","[0, 4, 10]",3
"['information', 'on', 'the', 'state', 'income', 'tax', 'in', 'illinois']","[3, 4, 5]",3
"['yes', 'give', 'me', 'information', 'about', 'the', 'state', 'income', 'tax', 'in', 'illinois']",[8],1
"['information', 'on', 'the', 'state', 'income', 'tax', 'in', 'illinois']","[3, 4, 5]",3
"['what', 'classification', 'would', 'you', 'like', 'to', 'know', 'the', 'tax', 'rate', 'for']","[1, 9]",2
"['i', 'would', 'like', 'to', 'know', 'the', 'illinoise', 'state', 'income', 'tax']","[6, 7, 8]",3
"['information', 'on', 'the', 'state', 'income', 'tax', 'in', 'illinois']","[3, 5]",2
"['would', 'you', 'like', 'know', 'who', 'collects', 'illinois', 'state', 'tax']","[0, 5, 7]",3
"['information', 'on', 'the', 'state', 'income', 'tax', 'in', 'illinois']","[3, 5]",2
"['do', 'you', 'want', 'to', 'get', 'helping', 'completing', 'your', 'illinois', 'state', 'tax', 'return']","[4, 9, 10]",3
"['information', 'on', 'the', 'state', 'income', 'tax', 'in', 'illinois']","[3, 4, 5]",3
"['do', 'you', 'want', 'to', 'know', 'what', 'the', 'illinois', 'state', 'tax', 'rate', 'is']","[8, 10]",2
['yes'],[0],1
"['information', 'on', 'the', 'state', 'income', 'tax', 'in', 'illinois']","[3, 4, 5]",3
"['do', 'you', 'want', 'to', 'read', 'articles', 'about', 'the', 'tax', 'rate', 'or', 'know', 'the', 'tax', 'rate', 'percentage']","[5, 9]",2
"['information', 'on', 'the', 'state', 'income', 'tax', 'in', 'illinois']","[3, 4, 5]",3
"['find', 'a', 'site', 'where', 'i', 'can', 'download', 'illinois', 'state', 'tax', 'forms']","[8, 9, 10]",3
"['are', 'you', 'interested', 'in', 'how', 'the', 'illinois', 'state', 'tax', 'is', 'determined']",[7],1
"['no', 'i', 'just', 'want', 'to', 'download', 'the', 'forms']",[7],1
"['find', 'a', 'site', 'where', 'i', 'can', 'download', 'illinois', 'state', 'tax', 'forms']","[8, 9, 10]",3
"['what', 'classification', 'would', 'you', 'like', 'to', 'know', 'the', 'tax', 'rate', 'for']",[8],1
"['none', 'i', 'just', 'want', 'to', 'find', 'somewhere', 'i', 'can', 'download', 'forms']",[10],1
"['find', 'a', 'site', 'where', 'i', 'can', 'download', 'illinois', 'state', 'tax', 'forms']","[0, 2, 9]",3
"['what', 'info', 'about', 'the', 'state', 'tax', 'are', 'you', 'looking', 'for']","[4, 5]",2
"['where', 'can', 'i', 'download', 'illinois', 'state', 'tax', 'forms']",[6],1
"['find', 'a', 'site', 'where', 'i', 'can', 'download', 'illinois', 'state', 'tax', 'forms']","[2, 8, 9]",3
"['which', 'county', 'do', 'you', 'live', 'in']","[1, 4]",2
"['this', 'isnt', 'related', 'to', 'my', 'search']","[1, 2, 5]",3
"['find', 'a', 'site', 'where', 'i', 'can', 'download', 'illinois', 'state', 'tax', 'forms']","[8, 9, 10]",3
"['would', 'you', 'like', 'know', 'who', 'collects', 'illinois', 'state', 'tax']","[7, 8]",2
"['no', 'i', 'would', 'like', 'the', 'site', 'where', 'you', 'can', 'download', 'illinois', 'state', 'tax', 'forms']","[5, 11, 12]",3
"['find', 'a', 'site', 'where', 'i', 'can', 'download', 'illinois', 'state', 'tax', 'forms']","[0, 2, 9]",3
"['would', 'you', 'like', 'to', 'know', 'when', 'the', 'illinois', 'state', 'tax', 'is', 'due']","[8, 9]",2
"['i', 'need', 'illinois', 'state', 'tax', 'forms']","[3, 4, 5]",3
"['find', 'a', 'site', 'where', 'i', 'can', 'download', 'illinois', 'state', 'tax', 'forms']","[2, 8, 9]",3
"['are', 'you', 'interested', 'in', 'how', 'to', 'pay', 'your', 'illinois', 'state', 'tax']","[9, 10]",2
"['yes', 'i', 'need', 'to', 'find', 'out', 'where', 'to', 'download', 'the', 'illinois', 'state', 'tax', 'forms']","[11, 12, 13]",3
"['find', 'a', 'site', 'where', 'i', 'can', 'download', 'illinois', 'state', 'tax', 'forms']","[8, 9]",2
"['are', 'you', 'looking', 'for', 'a', 'specific', 'form']","[5, 6]",2
"['yes', 'i', 'am', 'looking', 'for', 'illinois', 'state', 'tax', 'forms']","[6, 7]",2
"['find', 'a', 'site', 'where', 'i', 'can', 'download', 'illinois', 'state', 'tax', 'forms']","[2, 8, 9]",3
"['do', 'you', 'want', 'to', 'get', 'helping', 'completing', 'your', 'illinois', 'state', 'tax', 'return']","[9, 10]",2
"['no', 'i', 'just', 'need', 'to', 'know', 'where', 'to', 'find', 'the', 'forms', 'for', 'download']","[10, 12]",2
"['find', 'a', 'site', 'where', 'i', 'can', 'download', 'illinois', 'state', 'tax', 'forms']","[2, 9, 10]",3
"['do', 'you', 'want', 'to', 'know', 'what', 'the', 'illinois', 'state', 'tax', 'rate', 'is']","[8, 9]",2
"['no', 'just', 'where', 'i', 'can', 'get', 'the', 'forms']",[7],1
"['find', 'a', 'site', 'where', 'i', 'can', 'download', 'illinois', 'state', 'tax', 'forms']","[2, 8, 10]",3
"['do', 'you', 'want', 'to', 'know', 'where', 'your', 'refund', 'is', 'or', 'know', 'the', 'tax', 'rate']",[12],1
"['find', 'a', 'site', 'where', 'i', 'can', 'download', 'illinois', 'state', 'tax', 'forms']","[2, 8, 9]",3
"['do', 'you', 'want', 'to', 'read', 'articles', 'about', 'the', 'tax', 'rate', 'or', 'know', 'the', 'tax', 'rate', 'percentage']",[8],1
"['no', 'i', 'want', 'to', 'know', 'where', 'i', 'can', 'download', 'the', 'illinois', 'state', 'tax', 'forms']","[11, 13]",2
"['find', 'a', 'site', 'where', 'i', 'can', 'download', 'illinois', 'state', 'tax', 'forms']","[8, 9, 10]",3
"['for', 'which', 'year', 'would', 'you', 'like', 'to', 'know', 'the', 'illinois', 'state', 'tax']","[10, 11]",2
"['i', 'dont', 'know']",[1],1
"['find', 'a', 'site', 'where', 'i', 'can', 'download', 'illinois', 'state', 'tax', 'forms']","[8, 9, 10]",3
"['may', 'i', 'tell', 'you', 'how', 'much', 'the', 'state', 'income', 'tax', 'in', 'illinois', 'is']","[7, 9]",2
"['please', 'show', 'me', 'where', 'i', 'can', 'download', 'illionios', 'state', 'tax', 'forms']","[8, 9, 10]",3
"['find', 'a', 'site', 'where', 'i', 'can', 'download', 'illinois', 'state', 'tax', 'forms']","[8, 9, 10]",3
"['information', 'on', 'vines', 'that', 'can', 'be', 'grown', 'in', 'shady', 'areas']",[2],1
"['are', 'you', 'looking', 'for', 'a', 'flowering', 'ivy']","[2, 5]",2
"['no', 'i', 'am', 'looking', 'for', 'vines', 'that', 'can', 'grow', 'in', 'shady', 'areas']",[5],1
"['information', 'on', 'vines', 'that', 'can', 'be', 'grown', 'in', 'shady', 'areas']","[2, 9]",2
"['do', 'you', 'want', 'to', 'knwo', 'vest', 'vines', 'for', 'shade']","[4, 5, 8]",3
"['no', 'i', 'want', 'to', 'know', 'about', 'vines', 'that', 'will', 'grow', 'in', 'the', 'shade']",[12],1
"['information', 'on', 'vines', 'that', 'can', 'be', 'grown', 'in', 'shady', 'areas']",[2],1
"['how', 'fast', 'do', 'you', 'want', 'the', 'coverage', 'to', 'grow']","[1, 8]",2
"['i', 'dont', 'know']",[1],1
"['information', 'on', 'vines', 'that', 'can', 'be', 'grown', 'in', 'shady', 'areas']",[2],1
"['what', 'growing', 'climate', 'do', 'you', 'live', 'in']",[2],1
"['i', 'am', 'looking', 'for', 'vines', 'that', 'can', 'be', 'grown', 'in', 'shaded', 'areas']","[4, 10]",2
"['information', 'on', 'vines', 'that', 'can', 'be', 'grown', 'in', 'shady', 'areas']",[2],1
"['where', 'are', 'you', 'looking', 'to', 'grow', 'the', 'ivy']",[5],1
"['this', 'is', 'not', 'related', 'to', 'my', 'search']",[3],1
"['information', 'on', 'vines', 'that', 'can', 'be', 'grown', 'in', 'shady', 'areas']",[2],1
"['would', 'you', 'like', 'to', 'know', 'cheap', 'ways', 'to', 'grow', 'vines']",[9],1
"['information', 'on', 'vines', 'that', 'can', 'be', 'grown', 'in', 'shady', 'areas']","[2, 6]",2
"['are', 'you', 'putting', 'the', 'ivy', 'on', 'a', 'trellis']","[2, 4, 7]",3
['yes'],[0],1
"['information', 'on', 'vines', 'that', 'can', 'be', 'grown', 'in', 'shady', 'areas']",[2],1
"['do', 'you', 'have', 'any', 'plant', 'allergies']",[5],1
"['this', 'is', 'not', 'related', 'to', 'my', 'search']",[3],1
"['information', 'on', 'vines', 'that', 'can', 'be', 'grown', 'in', 'shady', 'areas']","[2, 9]",2
"['do', 'you', 'want', 'to', 'know', 'how', 'many', 'species', 'are', 'there', 'of', 'vines', 'for', 'shade']","[11, 13]",2
['yes'],[0],1
"['information', 'on', 'vines', 'that', 'can', 'be', 'grown', 'in', 'shady', 'areas']",[2],1
"['do', 'you', 'want', 'to', 'know', 'how', 'to', 'plant', 'a', 'vine', 'for', 'shade']","[9, 11]",2
['yes'],[0],1
"['information', 'on', 'vines', 'that', 'can', 'be', 'grown', 'in', 'shady', 'areas']",[2],1
"['do', 'you', 'want', 'to', 'know', 'if', 'you', 'can', 'grow', 'vines', 'in', 'shade']","[2, 9, 11]",3
"['yes', 'tell', 'me', 'the', 'types', 'of', 'vines', 'that', 'can', 'grow', 'in', 'shady', 'areas']","[0, 6, 12]",3
"['information', 'on', 'vines', 'that', 'can', 'be', 'grown', 'in', 'shady', 'areas']","[2, 9]",2
"['do', 'you', 'want', 'to', 'know', 'the', 'best', 'vines', 'for', 'providing', 'shade']","[7, 10]",2
['yes'],[0],1
"['information', 'on', 'vines', 'that', 'can', 'be', 'grown', 'in', 'shady', 'areas']","[2, 9]",2
"['do', 'you', 'want', 'to', 'know', 'what', 'vines', 'for', 'shade', 'are', 'available', 'in', 'your', 'region']","[6, 8]",2
['yes'],[0],1
"['information', 'on', 'vines', 'that', 'can', 'be', 'grown', 'in', 'shady', 'areas']",[2],1
"['do', 'you', 'want', 'to', 'know', 'where', 'to', 'buy', 'vines', 'for', 'shade']","[8, 10]",2
['yes'],[0],1
"['information', 'on', 'vines', 'that', 'can', 'be', 'grown', 'in', 'shady', 'areas']","[2, 6]",2
"['ideas', 'on', 'using', 'plant', 'vines', 'to', 'shade', 'an', 'area', 'on', 'or', 'around', 'my', 'house', 'from', 'the', 'sun', 'like', 'training', 'them', 'on', 'an', 'inexpensive', 'trellis', 'or', 'up', 'a', 'wall', 'or', 'fence']","[4, 6]",2
"['are', 'you', 'looking', 'for', 'a', 'flowering', 'ivy']","[5, 6]",2
['yes'],[0],1
"['ideas', 'on', 'using', 'plant', 'vines', 'to', 'shade', 'an', 'area', 'on', 'or', 'around', 'my', 'house', 'from', 'the', 'sun', 'like', 'training', 'them', 'on', 'an', 'inexpensive', 'trellis', 'or', 'up', 'a', 'wall', 'or', 'fence']","[4, 6, 11]",3
"['do', 'you', 'want', 'to', 'knwo', 'vest', 'vines', 'for', 'shade']","[6, 8]",2
['yes'],[0],1
"['ideas', 'on', 'using', 'plant', 'vines', 'to', 'shade', 'an', 'area', 'on', 'or', 'around', 'my', 'house', 'from', 'the', 'sun', 'like', 'training', 'them', 'on', 'an', 'inexpensive', 'trellis', 'or', 'up', 'a', 'wall', 'or', 'fence']","[4, 6, 27]",3
"['how', 'fast', 'do', 'you', 'want', 'the', 'coverage', 'to', 'grow']","[1, 6, 8]",3
"['no', 'i', 'want', 'to', 'know', 'about', 'different', 'vines', 'used', 'for', 'shade']","[7, 10]",2
"['ideas', 'on', 'using', 'plant', 'vines', 'to', 'shade', 'an', 'area', 'on', 'or', 'around', 'my', 'house', 'from', 'the', 'sun', 'like', 'training', 'them', 'on', 'an', 'inexpensive', 'trellis', 'or', 'up', 'a', 'wall', 'or', 'fence']","[4, 6]",2
"['what', 'growing', 'climate', 'do', 'you', 'live', 'in']","[2, 5]",2
"['not', 'sure']",[1],1
